Arquivo,Deputado,Autor,Assunto,Data_Criacao,Data_Moficacao
EMC 1-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170314114321-07'00',D:20170314114321-07'00'
EMC 2-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170314114328-07'00',D:20170314114328-07'00'
EMC 3-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170314114336-07'00',D:20170314114336-07'00'
EMC 4-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,MOD.CONLE.ST 2130/2017 - P_6736 - Davi Ribeiro de Oliveira Júnior,EMD ADI - Emenda Aditiva,D:20170314114344-07'00',D:20170314114344-07'00'
EMC 5-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170314114352-07'00',D:20170314114352-07'00'
EMC 6-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170314114400-07'00',D:20170314114400-07'00'
EMC 7-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170314114408-07'00',D:20170314114408-07'00'
EMC 8-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,Ivanete de Araujo Costa,EMD ADI - Emenda Aditiva,D:20170314114416-07'00',D:20170314114416-07'00'
EMC 9-2017 PL678716 =- PL 6787-2016.pdf,Laura Carneiro,MOD.CONLE.ST 2115/2017 - P_5771 - Lisiane de Alcantara Bastos,EMD ADI - Emenda Aditiva,D:20170314114424-07'00',D:20170314114424-07'00'
EMC 10-2017 PL678716 =- PL 6787-2016.pdf,Darcísio Perondi,SUPT,,D:20170314114432-07'00',D:20170314114432-07'00'
EMC 11-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,P_4189,,D:20170314114439-07'00',D:20170314114439-07'00'
EMC 12-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,P_4189,,D:20170314114447-07'00',D:20170314114447-07'00'
EMC 13-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,P_4189,,D:20170314114455-07'00',D:20170314114455-07'00'
EMC 14-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,P_4189,,D:20170314114503-07'00',D:20170314114503-07'00'
EMC 15-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,P_4189,,D:20170314114511-07'00',D:20170314114511-07'00'
EMC 16-2017 PL678716 =- PL 6787-2016.pdf,Gorete Pereira,P_4189,,D:20170314114519-07'00',D:20170314114519-07'00'
